FirstName,LastName,Department,Title
Nina,Alvarez,Front-End,Cashier
Caleb,Turner,Front-End,Customer Service Associate
Sofia,Reed,Front-End,Cashier
Jordan,Ellis,Front-End,Front-End Lead
Priya,Shah,Front-End,Cashier
Marcus,Bell,Front-End,Cart Attendant
Lena,Ortiz,Front-End,Cashier
Owen,Price,Front-End,Cashier
Kiara,Mitchell,Front-End,Customer Service Associate
Ethan,Park,Front-End,Bagger
Avery,Collins,Front-End,Cashier
Noah,Bennett,Front-End,Cashier
Jasmine,Cole,Front-End,Cashier
Leo,Ramirez,Front-End,Cart Attendant
Grace,Kim,Front-End,Cashier
Tessa,Morgan,Front-End,Bagger
Devin,Brooks,Front-End,Cashier
Liam,Foster,Receiving,Receiving Associate
Camila,Nguyen,Receiving,Receiving Associate
Morgan,Whitfield,Store-Management,Store Manager
Sabrina,Patel,Store-Management,Assistant Store Manager
Darius,Coleman,Grocery,Grocery Lead
Mia,Robertson,Grocery,Grocery Clerk
Felix,Navarro,Grocery,Grocery Clerk
Harper,Lane,Grocery,Grocery Clerk
Tyler,Grant,Grocery,Grocery Clerk
Selena,Ross,Grocery,Grocery Clerk
Cole,Simmons,Grocery,Grocery Clerk
Anika,Desai,Grocery,Grocery Clerk
Adrian,Flores,Produce,Produce Lead
Isla,Mercer,Produce,Produce Clerk
Mateo,Cruz,Produce,Produce Clerk
Ruby,Chen,Produce,Produce Clerk
Elijah,Brooks,Produce,Produce Clerk
Brandon,Hayes,Dairy,Dairy Lead
Zoe,Franklin,Dairy,Dairy Clerk
Miles,Tran,Dairy,Dairy Clerk
Kayla,Rivera,Dairy,Dairy Clerk
